name,surname,forename,orcid,wikidata
"Berg, Mia",,,,
"Berger, Claudia",,,0000-0001-5203-0971,
"Bermeitinger, Bernhard",,,,
"Bermeitinger, Bernhard",,,,
"Bermeitinger, Bernhard",,,,
"Bernád, Ágoston",,,,
"Berndt, Axel",,,,
"Berndt, Axel, Dr.",,,,
"Bernhard, Bermeitinger",,,,
"Bernhart, Toni",,,0000-0002-7255-2504,
"Bernhart, Toni",,,,
"Bernhart, Toni",,,,
"Berse, Dominic",,,0000-0002-6307-8556,
"Betz, Katrin",,,,
"Beutel-Thurow, Linda",,,,
"Biber, Hanno",,,,
"Bicher, Katrin",,,,
"Biemann, Chris",,,0000-0002-8449-9624,
"Biemann, Chris",,,0000-0002-8449-9624,
"Biemann, Chris",,,0000-0002-8449-9624,
"Biemann, Chris",,,0000-0002-8449-9624,
"Biemann, Chris",,,,
"Biermann, Johannes",,,,
"Bigalke, Ben",,,,
"Bigalke, Jan",,,0000-0003-0721-9980,
"Bigalke, Jan",,,,
"Bigalke, Jan",,,,
"Bigalke, Jan",,,,
"Binder, Arne",,,,
"Bischoff, Eva",,,,
"Blanck, Wiebke",,,,
"Blank, Daniel",,,,
"Blanken, Christine",,,,
"Blanken, Christine",,,,
"Bläß, Sandra",,,,
"Bläß, Sandra",,,,
"Bläß, Sandra",,,,
"Bläß, Sandra",,,,
"Blätte, Andreas",,,,
"Bleckmann, Patrice",,,,
"Bleier, Roman",,,0000-0003-4674-1042,
"Blessing, Andre",,,0000-0001-7573-578X,
"Blessing, Andre",,,,
"Blessing, Andre",,,,
"Blessing, Andre",,,,
"Blessing, André",,,0000-0001-7573-578X,
"Blessing, André",,,0000-0001-7573-578X,
"Blessing, André",,,0000-0001-7573-578X,
"Blessing, André",,,,
"Bludau, Mark-Jan",,,0000-0001-6300-8833,
"Bludau, Mark-Jan",,,0000-0001-6300-8833,
"Bludau, Mark-Jan",,,,
"Bludau, Mark-Jan",,,,
"Bludau, Mark-Jan",,,,
"Blümel, Ina",,,0000-0002-3075-7640,
"Blümel, Ina",,,0000-0002-3075-7640,
"Blümel, Ina",,,,
"Blumenstein, Judith",,,,
"Blumtritt, Jonathan",,,0000-0002-1438-379X,
"Blumtritt, Jonathan",,,0000-0002-1438-379X,
"Blumtritt, Jonathan",,,,
"Blumtritt, Jonathan",,,,
"Blumtritt, Jonathan",,,,
"Blumtritt, Jonathan",,,,
"Blumtritt, Jonathan",,,,
"Blumtritt, Jonathan",,,,
"Blumtritt, Jonathan",,,,
"Blumtritt, Jonathan",,,,
"Blumtritt, Jonathan",,,,
"Bock, Sina",,,,
"Bockwinkel, Peggy",,,,
"Bodomo, Adams",,,,
"Boelderl, Artur",,,,
"Boenig, Matthias",,,0000-0003-4615-4753,
"Boenig, Matthias",,,,
"Boenig, Matthias",,,,
"Boenig, Matthias",,,,
"Boenig, Matthias",,,,
"Bogacz, Bartosz",,,,
"Bogacz, Bartosz",,,,
"Bogdanović, Arsenije",,,,
"Bögel, Thomas",,,,
"Bohl, Benjamin W.",,,,
"Bohl, Benjamin W.",,,,
"Böhm, Alexander",,,,
"Böhm, Astrid",,,,
"Bönisch, Dominik",,,0000-0003-4336-0180,
"Bönisch, Thomas",,,,
"Bonsergent, Lou-Ann",,,,
"Borek, Luise",,,0000-0001-5849-374X,
"Borek, Luise",,,0000-0001-5849-374X,
"Borek, Luise",,,,
"Borgards, Roland",,,,
"Borges, Rebekka",,,,
"Börner, Ingo",,,0000-0001-8294-2541,
"Börner, Ingo",,,0000-0001-8294-2541,
"Börner, Ingo",,,0000-0001-8294-2541,
"Börner, Ingo",,,0000-0001-8294-2541,
"Börner, Ingo",,,,
"Börner, Ingo",,,,
"Borst, Janos",,,0000-0002-9166-4069,
"Borst, Janos",,,0000-0002-9166-4069,
"Bös, Eva",,,,
"Bosse, Anke",,,0000-0001-6760-451X,
"Bosse, Anke",,,,
"Böttger, Lucie",,,,
"Bougares, Fethi",,,,
"Bracke, Yannic",,,0000-0002-7932-8230,
"Bräckel, Oliver",,,,
"Bragagnolo, Manuela",,,,
