speaker-name,number-of-lectures
'0000-0001-5452-3913',1
'Q126691792',1
'0000-0002-0756-0508',1
'Q67327835',1
'0000-0001-8907-6412',1
'0000-0002-2016-5270',1
'0000-0001-7922-4338',1
'0000-0001-5084-6096',1
'Q126594989',1
'0000-0002-3530-507X',1
'0000-0002-5186-4445',1
'0000-0001-7196-506X',1
'Q93238370',1
'0000-0002-0441-6068',1
'0000-0002-6456-4003',1
'Q126593905',1
'0000-0002-7548-974X',1
'Q126595878',1
'Q126691822',1
'Q113747935',1
'0000-0002-8427-5380',1
'Q126593887',1
'0009-0001-1464-4080',1
'0000-0002-7730-0250',1
'Q126595895',1
'0000-0001-6980-8735',1
'Q126691786',1
'0009-0007-3024-657X',1
'0000-0002-0273-3844',1
'0000-0002-5340-8611',1
'Q126594105',1
'0000-0002-4077-2625',1
'Q126598181',1
'0009-0002-5030-4814',1
'Q126691829',1
'Q112450276',1
'0000-0003-2661-7749',1
'0009-0002-2634-9967',1
'0009-0002-1609-0031',1
'0000-0002-8130-1176',1
'Q140379068',1
'0000-0001-6822-6709',1
'0000-0003-3674-4450',1
'0000-0003-2426-3502',1
'Q126691856',1
'0000-0001-7384-1597',1
'0000-0002-9748-5408',1
'Q126691833',1
'0009-0001-8317-4051',1
'Q4336756',1
'Q126691835',1
'Q126595070',1
'0000-0001-8965-6863',1
'0000-0002-6208-7602',1
'0000-0002-7860-5427',1
'0000-0003-3831-9706',1
'0000-0002-7227-1331',1
'0000-0002-3919-993X',1
'0009-0002-9346-8384',1
'0000-0001-5947-8736',1
'0000-0002-3452-7228',1
'0000-0002-9052-8217',1
'0000-0003-3356-3988',1
'Q97043233',1
'0000-0003-3968-0077',1
'0000-0001-8614-0140',1
'Q126691882',1
'Q126595520',1
'Q126595521',1
'Q126595522',1
'0009-0001-3991-709X',1
'0000-0003-3921-1983',1
'0000-0002-8261-6882',1
'0000-0002-6020-0982',1
'Q126691852',1
'0000-0003-2829-682X',1
'0000-0002-3134-8398',1
'0000-0002-2649-1747',1
'0009-0006-2290-7561',1
'0000-0003-4213-9003',1
'Q126599580',1
'0000-0001-8371-4663',1
'0000-0002-8819-6946',1
'0000-0003-0417-2611',1
'0000-0001-9918-5081',1
'Q126595517',1
'0000-0002-2303-329X',1
'Q126691841',1
'0009-0007-2054-8056',1
'0000-0002-8503-1740',1
'0000-0003-0413-4746',1
'Q126595529',1
'Q126595530',1
'Q126595531',1
'0009-0000-4410-4627',1
'Q126595534',1
'Q126691872',1
'Q126691873',1
'Q119518987',1
'0000-0002-0624-292X',1
'Q126691878',1
'Q23060364',1
'0000-0002-9289-2231',1
'0000-0001-5838-6135',1
'0000-0003-1206-9040',1
'Q126593983',1
'Q102232104',1
'0000-0003-3653-0161',1
'Q126593987',1
'0000-0002-1752-3452',1
'Q126596258',1
'0009-0000-6746-3817',1
'0000-0002-0627-8199',1
'0000-0002-8111-6405',1
