speaker-name,number-of-lectures
Eleanor Goerss,1
Roman Bleier,1
Kevin Körner,1
Asya Achimova,1
Marion Darilek,1
Daniel Raffini,1
Cassidy Croci,1
Stefan Krmnicek,1
Hanno Ehrlicher,1
Stephan Dusil,1
Corwin Schnell,1
Michaela Mahlberg,1
Michael Göggelmann,1
David Jefferson Amelang López,1
Erwin Feyersinger,1
Peter Scholz,1
Steffen Koch,1
,1
Klaus Hentschel,1
Torsten Himel,1
Stefan Pernes,1
Manuel Braun,1
Nora Echelmeyer,1
Thomas Rainsford,1
Andreas Haka,1
Mark Gerstorfer,1
Fabian Bross,1
Reinhard Krüger,1
Beatrice Nickel,1
Marcus Willand,1
Karolina Vukojevic-Haupt,1
Jan-Peter Ostberg,1
Uwe Breitenbücher,1
Peter Reimann,1
Daniel Fett,1
Lars Lischke,1
Frank Dürr,1
Oliver Kopp,1
Matthias Wieland,1
,1
Lukas Fleischer,1
Hartmut Knopp,1
Andreas Kaminski,1
Heinz Werner Kramski,1
Maria Männig,1
Johannes Schmidt,1
Claude Draude,1
Elisabetta Mengaldo,1
Rostislav Tumanov,1
Raphael Heiberger,1
José Calvo Tello,1
Claus-Michael Schlesinger,1
Peter Hinkelmanns,1
Maximiliam Hadersbeck,1
Astrid Ensslin,1
Josephine Diecke,1
Mark Spoerer,1
Larissa Fritz,1
Maria José Afanador,1
Luise Borek,1
Johanna Barzen,1
Sebastian Padó,1
Nora Ketschik,1
Neele Falk,1
Axel Pichler,1
Arsenije Bogdanović,1
Hans Goebl,1
Thomas Krefeld,1
Maurizio Lana,1
Alejandro Bia Platas,1
Diane Jakacki,1
Oleg Sobchuk,1
Lev Manovich,1
Jan Rybicki,1
Agata Hołobut,1
Anastasia Glawion,1
John Dawson,1
Leonard Konle,1
James David Porter,1
Katherine Bode,1
Mike Fortun,1
Rebecca Carlson,1
Jan Keupp,1
Claudia Bamberg,1
Franziska Naether,1
Dirk Goldhahn,1
Torsten Hiltmann,1
Franziska Ehrl,1
Michelle Pfeifer,1
Sabine Timpf,1
Jacqueline Klusik-Eckert,1
Daniel Görres,1
Rebekah Higgitt,1
Jade Norindr,1
Vera Moitinho de Almeida,1
Mathieu Aubry,1
Pierre Willaime,1
Corinna Reinhardt,1
Melanie Andresen,1
Mari Akazawa,1
Indira Sen,1
Tobias Siebenlist,1
Kevin Tang,1
Ute Olliges-Wieczorek,1
Dirk Fleischer,1
Regina Schober,1
Silke Schwandt,1
Johannes Blömer,1
Thomas Hermann,1
Odile Sauzet,1
Achim Streit,1
Christiane Fuchs,1
Philipp Cimiano,1
Alexander Sczyrba,1
Karsten Lübke,1
Claus Weihs,1
Jan Goebel,1
Dietmar Bauer,1
Andreas Henrich,1
Tobias Schäfers,1
Stefan Brinkhoff,1
Hendrik Ballhausen,1
Friedrich Summann,1
Douglas Bates,1
Holger Simon,1
Angela Schwarz,1
Sarah Pittroff,1
Thomas Hensel,1
Christof Weiß,1
Rainer Kleinertz,1
Christine Siegert,1
Mark Saccomano,1
,1
Cristina Vertan,1
Rüdiger Hohls,1
Thomas Bremer,1
Thomas Schildhauer,1
Thomas Weitin,1
Charlotte Schubert,1
Angelika Storrer,1
Eugen Pfister,1
Fotis Jannidis,1
Heike Neuroth,1
Hubertus Kohle,1
Susan Schreibman,1
Ursula Lehmkuhl,1
Stefan Schmunk,1
,1
Daniel Burckhardt,1
Jaap Geraerts,1
Kathleen Schlüter,1
Jacob Benz,1
Jan Kamlah,1
Larissa Will,1
,1
Daniel Richter,1
,1
Marina Lemaire,1
Yvonne Rommelfanger,1
Felix Köther,1
Gregor Horstkemper,1
Wiebke Herr,1
Moritz Friesenhausen,1
Romain Michon,1
Moritz Jonas Schaeffer,1
Burkhard Freitag,1
Helene Hahn,1
Martin Hilpert,1
,1
Richard Freedman,1
Marietta Horster,1
Sven Pagel,1
Christof Schöch,1
Adelheid Heftberger,1
Christina Friedrichs,1
Benjamin Raue,1
Katharina Kinder-Kurlanda,1
Rainer Simon,1
Henrike Backhaus,1
Paul Klimpel,1
Christoph Bläsi,1
Oliver Čulo,1
Laurent Pugin,1
Christoph Wolk,1
Bernd Zywietz,1
Mirko Scherf,1
Max Grüntgens,1
Thomas Stäcker,1
Anna Plaksin,1
Chantal Franziska Köppl,1
Eva Maria Zehentner,1
Michael Roth,1
Jürgen Brandhorst,1
Nikolaus Weichselbaumer,1
Armin Hoenen,1
Christian Vater,1
Alexander Roidl,1
Sarah-Mai Dang,1
Lambert Heller,1
Andrew Hankinson,1
Alexander Klein,1
Monika Barget,1
Mills Kelly,1
Jan Lutteroth,1
Friedrich Michael Dimpel,1
Kristina Richts-Matthaei,1
Margarete Pratschke,1
Skadi Loist,1
Jonatan Jalle Steller,1
Carolin Kolhoff,1
Maximilian Müngersdorff,1
Sarah Oberbichler,1
Meinard Müller,1
Tobias Arera-Rütenik,1
Nicholas Cole,1
Benjamin Štular,1
Thomas Köntges,1
Karlheinz Mörth,1
Nicole High-Steskal,1
Sandra Mayer,1
Timo Frühwirth,1
Simon Brenner,1
Doris Gruber,1
Nora Linser,1
Lisa Nußbaumer,1
Rebecca Kahn,1
Georg Vogeler,1
Anita Lucchesi,1
Nina Rastinger,1
Jeffrey Schnapp,1
Keith Michael Baker,1
Alexandra Angeletaki,1
Björn Ommer,1
Gregory Crane,1
Natalie Harrower,1
Jennifer Edmond,1
Jan Willem Tulp,1
Miriah Meyer,1
Marieke van Erp,1
Laurent Romary,1
Richard Rogers,1
Sebastian Heath,1
Maximilian Schich,1
Anne Luther,1
Achim Rabus,1
Toma Tasovac,1
Anastasia Bonch-Osmolovskaya,1
Aliz Horvath,1
Tobias Blanke,1
Peter Bell,1
Marlene Ernst,1
Linda Beutel-Thurow,1
Julia Hintersteiner,1
Bernhard Bauer,1
Claudia Resch,1
Ingrid Matschinegg,1
Stefan Zedlacher,1
Walter Brandstätter,1
Elisabeth Tangerner,1
Elisabeth Gruber-Tokić,1
Anna Kathrin Bleuler,1
Miriam Landkammer,1
Andreas Uhl,1
Michael Linortner,1
Roland Filzwieser,1
Jasmine Dum Tragut,1
Marat Yavrumyan,1
Andrea Lindmayr-Brandl,1
Carlo Bosi,1
Aurelia Brandenburg,1
Alan van Beek,1
Ali Çetinkaya,1
Robert Austin,1
Tristan Repolusk,1
Glenn Roe,1
Kurt Fendt,1
Maurizio Forte,1
Kirell Maël Benzi,1
Philippe Schlenker,1
George Legrady,1
Stefan Kölsch,1
Antoine Doucet,1
Markus Neuwirth,1
Anthony Masure,1
Daniel Gatica-Perez,1
David Smith,1
Frederic Kaplan,1
Robert West,1
Mathieu Salzmann,1
Jean-Christophe Burie,1
Jérôme Baudry,1
Kelly Snook,1
Daniel Shanahan,1
Anita Auer,1
Ulrik Brandes,1
Pascale Kuntz,1
Thomas Noll,1
Gerhard Lauer,1
Yannick Rochat,1
Simon Hengchen,1
Nathan Martin,1
Daniel Trottier,1
Frederik Elwert,2
Jürgen Hermes,2
Claes Neuefeind,2
Øyvind Eide,2
Thierry Declerck,2
Johannes Daxenberger,2
Eleftheria Paliou,2
Georg Schelbert,2
Sebastian Zimmer,2
Nora Probst,2
Katrin Glinka,2
Claus Huitfeldt,2
Piotr Kuroczynski,2
Stefan Heßbrüggen-Walter,2
Martina Filosa,2
Alina Ostrowski,2
Jan Horstmann,2
Mark Finlayson,2
Susanne Kurz,2
Andreas Wagner,2
Dimitar Iliev,2
Elli Bleeker,2
Hubert Mara,2
Costas Papadopoulos,2
Kai-Christian Bruhn,2
Patricia Murrieta-Flores,2
Louise Tharandt,2
Dennis Mischke,2
Frank Krüger,2
Angila Vetter,2
Anne Baillot,2
Julian Schröter,2
Anna Neovesky,2
Lina Franken,2
Antonio Rojas Castro,2
Natalja Menold,2
Anna-Maria De Cesare,2
Verena Straub,2
Hauke Bartels,2
Marianne Kneuer,2
Angela Dreßen,2
Yannick Frommherz,2
Jan Langenhorst,2
Jan Heilmann,2
Manuel Burghardt,2
Andreas Kuczera,2
Christopher Pollin,2
Gregor Middell,2
Noah Bubenhofer,2
Franziska Klemstein,2
Michael Piotrowski,2
Fabian Moss,2
Beijia Chen,2
Lisa Poggel,2
Hanna Weimann,2
Miguel Escobar Varela,2
Fabian Schwabe,2
Rembert Eufe,2
Stefan Morent,2
Kerstin Jung,2
Klaus Wendel,2
Markus John,2
Gabriel Viehhauser,2
Peggy Bockwinkel,2
Marc Priewe,2
Toni Bernhart,2
Dominik Gerstorfer,2
Andrea Rapp,2
Malte Heckelen,2
Jana Keck,2
Rabea Kleymann,2
Svenja Guhr,2
Fabio Ciotti,2
Mark Gotham,2
Thomas Burch,2
Barbara Fischer,2
Katrin Moeller,2
Olaf Simons,2
Sofia Baroncini,2
Katharina Hering,2
Stefan Büdenbender,2
Robert Klugseder,2
Vanessa Hannesschläger,2
Victoria Van Hyning,2
Chiara Zuanni,2
Immo Trinks,2
Isabella Nicka,2
Peter Färberböck,2
Martin Rohrmeier,2
Dominique Boullier,2
Sarah Kenderdine,2
Bela Kapossy,2
Henry Martin,2
Lisa Dieckmann,3
Frank Fischer,3
Christian Prager,3
Thorsten Wübbena,3
Nils Reiter,3
Jonathan Blumtritt,3
Alexander Czmiel,3
Zoe Schubert,3
Fernanda Alvares Freire,3
Fabian Kaßner,3
Monica Berti,3
Evelyn Gius,3
Aline Deicke,3
Mario Baumann,3
Orit Halpern,3
Anke Langner,3
Susanne Haaf,3
Christian Thomas,3
Marie Flüh,3
Matthias Bauer,3
Lorna Hughes,3
Katharina Zeppezauer-Wachauer,3
Franco Moretti,3
Maxim Romanov,3
Florian Windhager,3
Andreas Witt,4
Mareike König,4
Torsten Schrade,4
Berenike Herrmann,4
Stefan Dumont,4
Alexander Lasch,4
Kay-Michael Würzner,4
Angelika Zirker,4
Thomas Wallnig,4
Johannes Preiser-Kapeller,4
Hannes Fellner,4
Patrick Sahle,5
Tessa Gengnagel,5
Tara Andrews,5
Heike Zinsmeister,5
Enes Türkoğlu,6
Simon Meier-Vieracker,6
Elisa Cugliana,6
Julia Nantke,6
Ulrike Henny-Krahmer,7
Mareike Schumacher,10
