TermOrganizers	LectureSpeaker	SeriesId	EdgeId	speaker	affiliation
thomas_christian	kronemeijer_redmer (self-employment)	ls12	ls12_t2_l8	kronemeijer_redmer	self-employment
thomas_christian	bleeker_elli (knaw)	ls12	ls12_t2_l9	bleeker_elli	knaw
thomas_christian	simon_tobias (fh-mainz)	ls12	ls12_t2_l10	simon_tobias	fh-mainz
czmiel_alexander	meyer-sickendiek_burkhard (uni-fu-berlin)	ls12	ls12_t2_l1	meyer-sickendiek_burkhard	uni-fu-berlin
czmiel_alexander	hussein_hussein (uni-fu-berlin)	ls12	ls12_t2_l1	hussein_hussein	uni-fu-berlin
czmiel_alexander	czmiel_alexander (bbaw)	ls12	ls12_t2_l2	czmiel_alexander	bbaw
czmiel_alexander	dumont_stefan (bbaw)	ls12	ls12_t2_l2	dumont_stefan	bbaw
czmiel_alexander	neuber_frederike (bbaw)	ls12	ls12_t2_l2	neuber_frederike	bbaw
czmiel_alexander	thomas_christian (bbaw)	ls12	ls12_t2_l2	thomas_christian	bbaw
czmiel_alexander	wuerzner_kay-michael (bbaw)	ls12	ls12_t2_l2	wuerzner_kay-michael	bbaw
czmiel_alexander	baiter_johannes (library-bsb)	ls12	ls12_t2_l3	baiter_johannes	library-bsb
czmiel_alexander	dieckmann_lisa (uni-koeln)	ls12	ls12_t2_l4	dieckmann_lisa	uni-koeln
czmiel_alexander	schirmacher_hartmut (fh-bht)	ls12	ls12_t2_l5	schirmacher_hartmut	fh-bht
czmiel_alexander	meier-vieracker_simon (uni-tu-berlin)	ls12	ls12_t2_l6	meier-vieracker_simon	uni-tu-berlin
czmiel_alexander	deicke_aline (adw-mainz)	ls12	ls12_t2_l7	deicke_aline	adw-mainz
czmiel_alexander	kronemeijer_redmer (self-employment)	ls12	ls12_t2_l8	kronemeijer_redmer	self-employment
czmiel_alexander	bleeker_elli (knaw)	ls12	ls12_t2_l9	bleeker_elli	knaw
czmiel_alexander	simon_tobias (fh-mainz)	ls12	ls12_t2_l10	simon_tobias	fh-mainz
wuerzner_kay-michael	meyer-sickendiek_burkhard (uni-fu-berlin)	ls12	ls12_t2_l1	meyer-sickendiek_burkhard	uni-fu-berlin
wuerzner_kay-michael	hussein_hussein (uni-fu-berlin)	ls12	ls12_t2_l1	hussein_hussein	uni-fu-berlin
